NED_id,class,ra,dec,zdist,D,F1400,F843,Fsyn,Lsyn,Pcav,L151,Ljet,Lcr,Fcr,Rmax
2MASX J01532586+7115067,j,28.35774,71.25183,0.0239996977787,101.77248476,1290.9,0.0,1491.87972255,40.30829888729147,43.979237214666966,39.96333259214545,42.858749749274885,42.31468170492461,1.6653671534964534e-12,18.483796833572328
NGC 0741,j,29.08735,5.62887,0.0190829820931,80.24902026,1058.9,0.0,1223.75973213,40.01587995686331,43.77454396336725,39.670913661717286,42.59849690119382,42.05442885684354,1.4710872266245736e-12,18.353670409531794
UGC 01651,j,32.41074,35.79723,0.0393059261586,168.577751262,2086.0,0.0,2410.76853454,40.95506034737732,44.43197023672706,40.6100940522313,43.43436744875129,42.89029940440101,2.28448303564043e-12,18.77160568331053
MCG -01-06-064,j,32.7225,-6.55931,0.0447351041383,192.623293088,620.2,0.0,716.758698526,40.5440948991963,44.144294423000346,40.19912860405028,43.068608199870184,42.52454015551991,7.537226987642172e-13,18.588726058869977
2MASX J02141794+5144520,j,33.57472,51.74777,0.0511833476197,221.417613548,453.0,0.0,523.527395086,40.52866806394678,44.133495638325684,40.18370176880076,43.05487831649811,42.510810272147836,5.526815749018958e-13,18.58186111718394
ESO 198- G 001,j,34.18797,-47.81908,0.066196275037,289.437608489,0.0,3717.2,3168.66890599,41.54329110481507,44.84373176693349,41.198324809669046,43.95789282287088,43.413824778520606,2.587044516000199e-12,19.033368370370326
UGC 01797,j,34.99468,1.93024,0.0423571825133,182.069231895,560.3,0.0,647.532890655,40.451039273257294,44.07915548484304,40.10607297811127,42.98578869278447,42.44172064843419,6.97166601981002e-13,18.54731630532712
CGCG 523-025,j,35.10069,36.99483,0.0383278803581,164.265389158,824.0,0.0,952.288241834,40.52916487621648,44.13384340691447,40.184198581070454,43.055320479418135,42.51125243506786,1.005192748250712e-12,18.582082198643953
ESO 198- G 008,j,35.56444,-51.10819,0.0482964974877,208.495028871,0.0,712.8,607.615193206,40.54112435429489,44.14221504156936,40.196158059148864,43.065964414907924,42.52189637055765,6.394314705798243e-13,18.587404166388847
NGC 0891,g,35.63711,42.34832,0.00224147224799,9.34920650682,701.0,0.0,372.016486707,37.96941305400003,42.34201713136296,37.624446758854006,40.7771413576455,40.23307331329522,1.6353580516094537e-12,17.442992637757634
UGC 01841 NOTES01,j,35.80408,42.98782,0.0230949669426,97.8696012977,6230.5,0.0,7200.52413925,40.957964069256235,44.434002842042304,40.61299777411021,43.43695176122352,42.89288371687324,6.818315986887938e-12,18.772897839546648
PKS 0223-162,j,36.57354,-16.01924,0.0689044675367,301.85252751,311.6,0.0,360.112883684,40.635332613112155,44.20816082274145,40.29036631796613,43.14980976525529,42.605741720905016,3.7003357626160784e-13,18.62932684156253
B2 0225+38A,j,37.12638,38.35346,0.0341741021518,146.016788476,216.3,0.0,249.975663481,39.846007634655216,43.65563333782159,39.50104133950919,42.44731053442862,41.90324249007834,3.1370825798741446e-13,18.278077226149193
MCG -03-07-023 NED02,p,37.41164,-17.04298,0.0598057760127,260.317031844,239.7,0.0,277.018800446,40.39281873227826,44.03840110615772,40.047852437132235,42.93397241131312,42.389904366962845,3.0268314999206533e-13,18.521408164591445
B2 0226+28,j,37.41201,28.98763,0.048593653124,209.822850909,599.0,0.0,692.258078712,40.603277920285194,44.18572253776257,40.25831162513917,43.12128108863929,42.57721304428902,7.171277406659767e-13,18.615062503254535
ESO 545- G 028,j,37.85916,-17.65366,0.0336279123215,143.62521229,240.5,0.0,277.943352137,39.8777219786718,43.677833378633196,39.53275568352578,42.47553630060337,41.9314682562531,3.4601580339557997e-13,18.29219010923657
NGC 0972,g,38.55573,29.31127,0.00447661755607,18.7424976484,273.5,0.0,316.081109395,38.164757791446064,42.47875844757518,37.81979149630004,40.95099817397247,40.4069301296222,6.072454160440262e-13,17.52992104592112
ESO 416- G 002,j,38.80609,-29.60471,0.0617322610722,269.069821587,246.8,0.0,285.224196705,40.434220667615485,44.067382460893775,40.08925437246946,42.970820133763254,42.42675208941298,3.083977162973061e-13,18.539832025816512
NGC 1004,j,39.42417,1.97531,0.0222277406219,94.1333447056,232.6,0.0,268.813404188,39.49624222137103,43.41079754852266,39.151275926225004,42.13601931660568,41.59195127225541,3.6859830818339437e-13,18.12243161723773
